CurrentMilk	Previous	Fat	Protein	Days	Lactation	I79
53	60	4.2	3.7	183	2	1
60	62	6.4	4.8	185	3	1
48	71	2.6	3.1	188	2	1
46	57	5.9	3.8	190	2	1
74	67	3.6	2.8	195	1	1
72	70	3.9	3.5	196	5	1
28	36	4.1	3.8	197	2	1
42	47	3.6	3.8	200	2	1
27	31	3.9	3.4	202	2	1
26	28	4.1	3.3	202	2	1
23	17	4.7	4	207	2	1
61	56	3.5	3.2	208	5	1
47	45	2.9	3.1	209	2	1
27	25	5.3	3.6	209	2	1
65	59	3.2	3.1	210	2	1
77	79	3.6	2.8	211	1	1
73	57	3.3	2.8	213	1	1
61	62	3.7	3.2	213	1	1
58	59	6.4	3.4	215	3	1
103	99	2.9	2.8	81	4	1
74	64	4	2.9	81	1	1
70	62	4.3	2.9	83	1	1
78	62	4.1	3.1	87	2	1
54	52	3.7	3.2	87	1	1
85	75	4.2	2.5	88	1	1
79	75	3.5	3.2	91	2	1
75	62	4	2.9	91	1	1
100	93	3.7	3.2	92	2	1
113	87	5.8	2.9	93	3	1
92	92	3.6	3.4	93	3	1
59	53	3.5	3.2	95	1	1
49	75	3.3	3.1	95	2	1
77	67	2.5	2.9	96	1	1
78	78	4.1	3.2	97	2	1
56	51	3.2	2.7	103	3	1
93	85	4.1	2.9	105	4	1
79	86	3.8	3	105	6	1
71	73	3.5	3.4	105	3	1
67	72	5.5	2.6	105	1	1
62	53	3	3	105	1	1
69	56	4	3.3	107	1	1
68	68	3.8	2.8	108	1	1
60	61	4.2	3.1	109	1	1
88	100	3.8	2.9	111	2	1
80	66	4	3.1	111	1	1
79	84	5.1	2.6	111	1	1
61	63	3.3	2.9	111	1	1
75	66	3.9	3.4	114	2	1
69	66	3.8	3.1	115	1	1
70	86	3.3	3.3	118	5	1
56	45	3.4	2.6	118	1	1
70	81	4.8	3	119	1	1
80	93	3.5	2.9	120	4	1
74	89	4.7	3.2	120	4	1
82	63	3.2	2.9	123	4	1
77	72	3.6	2.9	123	1	1
72	65	2.8	2.6	123	1	1
103	104	2.8	2.8	125	3	1
82	85	2.3	2.8	125	2	1
69	58	3.5	3.3	127	1	1
87	96	4.1	2.5	128	3	1
82	93	3.7	3.1	128	2	1
64	64	4.4	3.4	129	2	1
63	63	3.3	3.4	130	3	1
86	72	3.6	2.8	131	2	1
79	91	2.9	2.9	131	2	1
75	78	3.9	2.9	132	1	1
42	60	2.9	3.1	132	2	1
82	75	2.3	2.9	135	2	1
61	52	3.2	3.4	135	2	1
85	75	3	2.9	137	1	1
67	74	3.8	3.7	137	5	1
80	73	3.7	3.1	138	4	1
63	64	2.9	3.4	138	2	1
62	73	3.2	3.5	142	6	1
62	66	4.3	3.1	142	1	1
45	42	3.7	3.2	142	2	1
38	34	3.6	3.5	142	2	1
80	73	3.3	2.8	143	2	1
57	72	2.5	3.3	143	4	1
67	62	3.6	3.2	145	1	1
54	57	3.6	3	145	2	1
46	47	4.3	3.4	145	1	1
14	53	3	3.4	145	2	1
55	64	3.5	3	146	1	1
68	76	1.8	1.3	147	2	1
54	63	2.5	3.3	147	2	1
53	64	3.8	3.4	147	4	1
89	89	3.3	3	149	2	1
68	69	3.5	3.4	149	2	1
55	54	5.9	3.4	149	1	1
47	57	3.5	2.9	149	2	1
73	61	3.6	2.8	151	1	1
